ID,Nombres,Apellidos,Correo,Suscripción,Estado,Fecha Registro
3,María Fernanda,Rodríguez Ruiz,maria.rodriguez@insteip.com,PREMIUM,ACTIVO,2026-07-02 06:46:05
16,Alumno,E2E Test Modificado,test.e2e.1782978156017@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:42:39
4,Alumno,E2E Test,test.e2e.1782975393650@insteip.com,PREMIUM,ACTIVO,2026-07-02 01:56:36
12,Alumno,E2E Test Modificado,test.e2e.1782976862731@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:21:05
5,Alumno,E2E Test Modificado,test.e2e.1782975490913@insteip.com,PREMIUM,ACTIVO,2026-07-02 01:58:14
21,Alumno,Prueba Modificada,test.e2e.1784077381033@insteip.com,PREMIUM,ACTIVO,2026-07-14 20:03:04
6,Alumno,E2E Test Modificado,test.e2e.1782975640928@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:00:44
7,Alumno,E2E Test Modificado,test.e2e.1782976027025@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:07:10
17,Alumno,E2E Test Modificado,test.e2e.1782978630332@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:50:33
13,Alumno,E2E Test Modificado,test.e2e.1782977040299@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:24:03
8,Alumno,E2E Test Modificado,test.e2e.1782976116486@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:08:39
9,Alumno,E2E Test Modificado,test.e2e.1782976294400@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:11:37
14,Alumno,E2E Test Modificado,test.e2e.1782977152011@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:25:55
10,Alumno,E2E Test Modificado,test.e2e.1782976399103@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:13:22
18,Alumno,E2E Test Modificado,test.e2e.1782978826219@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:53:49
11,Alumno,E2E Test Modificado,test.e2e.1782976675325@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:17:58
22,Alumno,SeleniumModificado,alumno.selenium.1784077829041@insteip.com,PREMIUM,ACTIVO,2026-07-14 20:10:32
15,Alumno,E2E Test Modificado,test.e2e.1782977942262@insteip.com,PREMIUM,ACTIVO,2026-07-02 02:39:05
19,Maria,Lopez,maria.lopez_1784075298609@insteip.com,BASICO,ACTIVO,2026-07-14 19:28:18
2,Juan,Pérez,juan.perez@insteip.com,PREMIUM,ACTIVO,2026-07-02 06:46:05
24,Alumno,SeleniumModificado,alumno.selenium.1784077976326@insteip.com,PREMIUM,ACTIVO,2026-07-14 20:13:00
